一一 , 表一個接一個沒有間斷。
何況 , 關聯連接詞。強調前述事件。
何為 , 表對事件的疑問，詢問原因。
何等 , 疑問詞。表示對描述對象的疑問。
何等 , 表比預期程度更強，通常帶有誇張語氣或感情。
何者 , 指前述對象中不確定的其中之一。
何苦 , 何必自尋苦惱，用疑問的語氣表示不值得或不需要。
何 , 表對事件的質問，並暗示與說話者的認知不同。
何 , 表疑問的口氣。
何謂 , 什麼是，引述待定義或解釋的對象。
佘 , 專有名詞。姓。
余 , 代指說話者。
佛 , 專有名詞。以釋迦牟尼佛為主神的多神教，主張生命痛苦，一切無常。
佛 , 專有名詞。佛教徒對釋迦牟尼佛的尊稱。「佛陀」的縮寫。
佛教 , 專有名詞。以釋迦牟尼佛為主神的多神教，主張生命痛苦，一切無常。
佛 , 普通名詞。以佛為形象製成的人造物。常用接尾詞。
佛 , 普通名詞。佛教徒所信仰的神的名號或其所代表的意念，常與「唸」連用。
佛 , 普通名詞。佛教所供奉的神像，以佛教信仰中的神製成的。常用接尾詞。
佛 , 普通名詞。佛教的教義。
佛 , 普通名詞。比喻佛教修行中達到圓滿境界的人。
佛 , 普通名詞。通指中國佛教信仰的神中等級最高的一類。常用接尾詞。
作主 , 由前述對象擁有事件的決定權。
作主 , 請前述對象為說話者出面。
作 , 代動詞。做，取代整個事件。
作 , 以特定原料或材料做成成品。
作 , 以眼神或其他肢體動作傳遞特定訊息。
作 , 前述對象的工作或身份是後述對象。
作 , 前述對象連接的是後述對象，表兩者指涉相同。
作品 , 普通名詞。文學藝術等創作的成品。
作夢 , 比喻對還沒有實現的事物有不切實際的期望。
作夢 , 比喻對還沒有實現的事物有期望。
作夢 , 睡眠時腦部活動產生記憶與知覺。
作家 , 普通名詞。從事文學創作的人。
作 , 將材料依照設計規格，建造後述供人類活動的房屋或土木工程。
作 , 對還沒有實現的事物有不切實際的期望。常與「夢」連用。
作 , 對還沒有實現的事物有期望。常與「夢」連用。
作怪 , 以奇異、不尋常的方式吸引他人注意。
作怪 , 懷有惡意地打擾他人或阻礙事件進行。
作成 , 完成並產生結果。
作成 , 將事物的形式、狀態歷經特定過程，轉變成另一種形式、狀態。
作戰 , 普通名詞。比喻在持續的競爭中以前述對象為手段並做為當次對立競爭勝負標準的一次競爭。
作戰 , 比喻接受後述條件或環境的挑戰。
作戰 , 比喻進行一次兩個以上對手參加的遊戲或競賽。
作戰 , 進行武力衝突。
作 , 把兩個描述對象認定為相同或具有相同功能。
作 , 普通名詞。文學藝術等創作的成品。
作 , 比喻因做特定事件而造成特定結果。
作法 , 施行法術。
作為 , 前述對象的身份是後述對象，通常用於提供後述事件的背景。
作為 , 把兩個描述對象認定為相同或具有相同功能。
作為 , 普通名詞。具有特定意義或為達特定目標所做的行為。
作為 , 普通名詞。行為與舉動。
作用 , 普通名詞。對特定對象所產生的作用。
作用 , 普通名詞。對特定對象產生特定影響的事件。
作用 , 特定對象運作並發揮功能。
作 , 睡眠時腦部活動產生記憶與知覺。常與「夢」連用。
作答 , 對特定問題提出答案或看法，通常隱含接受評量。
作者 , 普通名詞。創作文學藝術作品的人。
作 , 裝出比實際狀況更強或更好的後述狀態。
作 , 進行特定正式活動。
作 , 顯示出後述可被觀察的狀態。
佟 , 專有名詞。姓。
你 , 代指任何人。
你 , 代指單數的聽話者。
你 , 代指單數的聽話者所擁有的。
你 , 代指單數聽話者所屬的團體。
你們 , 代指複數的聽話者。
你們 , 「你們的」的簡省。
佩 , 將特定物品戴在身上。
佩 , 普通名詞。中國服飾中繫在衣帶上的一種裝飾品。常用接尾詞。
佩服 , 極度尊敬或喜歡特定對象。
佩服 , 肯定並喜歡特定特質。
佩 , 極度尊敬或喜歡特定對象。
佰 , 數目字。整數，十的十倍。
佳 , 專有名詞。姓。
佳 , 形容對特定對象的評價是正面的。
佳 , 普通名詞。五等第成績中的第三等，在良之下，可之上。
併發症 , 普通名詞。由某病所引起的附帶病症。
使 , 付出金錢。
使 , 代表國家或政府到其他國家執行外交任務。
使命感 , 普通名詞。認定自己必須做特定事件的信念。
使 , 導致後述對象涉入後述事件。
使得 , 對特定事件的發生表示接受。
使得 , 形容能夠使用的。
使 , 普通名詞。代表國家或政府到其他國家執行外交任務的官員。常用接尾詞。
使 , 普通名詞。官名，古代政府特別派駐負責特定政務的官員。常用接尾詞。
使 , 為特定目的而使用後述能力或特質。
使用 , 付出金錢。
使用 , 以特定語言或文字作為傳遞訊息的媒介。
使用 , 使用後述材料製成前述物品。
使用 , 利用特定對象的特定功能。
使用 , 比喻選擇後述有系統性的態度或方式。
使 , 較有權力的人或機構要求他人去做後述事件。
使 , 關聯連接詞。連接假設條件。
侃侃而談 , 流暢且不慌不忙地說話。
侄 , 專有名詞。姓。
侄 , 普通名詞。兄弟姊妹的子女。
侄 , 普通名詞。對兄弟姊妹的子女的指稱。
侄 , 普通名詞。對朋友的子女的指稱。
來不及 , 形容前述事件從時效上來看已經太晚而無法挽回了。
來不及 , 表主事者有進行前述事件的充分意願。
來不及 , 表沒有足夠的時間進行後述事件。
來 , 代動詞。代替具有傳送路徑的動詞。
來 , 代動詞。代替具有過程意義的動詞。
來信 , 寄出信至參考點。
來信 , 普通名詞。寄至參考點的信。
來得及 , 形容前述事件從時效上來看不會太晚。
來得及 , 表有足夠的時間進行後述事件。
來得 , 表後述狀態為前述事項的比較結果。
來源 , 前述對象起始於後述對象並發展。常用「來源於」。
來源 , 普通名詞。比喻前述對象在傳遞交換時的提供者。
來源 , 普通名詞。比喻開創或造成前述對象的特定對象。
來源 , 普通名詞。河川開始流出的特定處所。
來臨 , 到達參考點的位置。
來臨 , 前述狀態或時段到來。
來著 , 用在疑問代名詞之後，以填補不確定的語句或名稱，為想不出正確用語時的替代語。
來 , 表前述對象進行後述事件。
來 , 表反覆。常用「…來…去」。
來 , 表對事件的評價，後接說話者的評價。常用「…起…來」。
來 , 表示能力許可。常與「得」、「不」連用。
來 , 表藉由前述工具、方法或範圍進行後述事件。
來 , 表說話者在動作朝向的方向。
來 , 趨向動詞。向參考點的位置移動或到達參考點的位置。
例如 , 引介例子。
例子 , 普通名詞。用來說明事件或代表前述情況的對象。
例 , 引介例子。
例 , 普通名詞。曾經發生過，被認為可依據的同類事件。
例 , 普通名詞。用來說明事件或代表前述情況的對象。
例 , 普通名詞。調查或統計時計算同類的事件。
例行 , 形容按照一定規律進行的。
例 , 表按照一定規律進行的。
例 , 調查或統計時計算同類事件的單位。
侍 , 專有名詞。姓。
侍 , 提供特定對象需要的照顧和服務。
侍 , 擔任特定對象的隨從。
供 , 形容用來祭祀的。
供應 , 提供特定對象所需的資源。
供 , 所有權人將特定對象給他人使用。
供 , 提供後述對象生活上所需要的物品、金錢。
供 , 提供特定資源。
供 , 擺設祭品以祭祀神佛或靈性存在物。
供 , 普通名詞。用來祭祀神佛或靈性存在物的祭品。
供 , 普通名詞。被審問者所陳述的內容。
供 , 比喻付出金錢或其他代價以維持後述物品的所有權或對其的義務。通常與「車」、「房」連用。
供給 , 提供特定資源。
供認 , 承認或說出所犯的罪行。
依偎 , 親密地緊靠著。
依存 , 前述對象互相依賴而存在。
依序 , 表按照既定的順序。
依 , 引介判斷的標準或條件。
依 , 引介後述事件的說明或評價。常用「依…來看」。
依循 , 引介依照或遵循的標準。
依據 , 將特定對象作為言論或行動的基礎。
依據 , 引介特定的觀點。
依據 , 引介遵循的原則。
依據 , 普通名詞。事件遵循的基礎。
依法 , 表根據法律進行後述事件。
依然 , 表動作或情況持續不變，通常用於轉折語氣。
依照 , 引介判斷的標準或條件。
依照 , 引介遵循的原則。
依舊 , 形容與原來一樣。
依舊 , 表動作或情況持續不變，通常用於轉折語氣。
依賴 , 依靠其他對象而不能自己獨立。
依 , 身體傾斜，把一部份重量由物體或他人支撐。
依靠 , 以後述對象為憑藉進行特定事件。
依靠 , 身體傾斜，把一部份重量由物體或他人支撐。
依 , 順從他人的意思。
侮辱 , 欺負他人或做出不禮貌的行為，讓他人感到羞辱。
侯 , 專有名詞。姓。
侯 , 普通名詞。中國古代封建五等爵位的第二等。常用接尾詞。
侵 , 強迫他人與主事者進行性行為。
侵 , 比喻竊取經過保密的資料。
侵 , 比喻越過本身應有的範圍，而侵占到後述對象的權益。
侵 , 特定對象未經同意進入特定空間範圍，通常為了破壞。
侵 , 特定有害物入侵生物體而造成損壞。
侵蝕 , 比喻損壞後述抽象對象。
侵蝕 , 比喻暗中侵占後述財物。
侵蝕 , 特定有害物入侵生物體而造成損壞。
侵蝕 , 特定物體表面因自然力影響而損壞。
侵 , 進入敵人領土，進行武力行動。
侶 , 普通名詞。相處在一起或同在一起，互相扶持的人。常用接尾詞。
侷限 , 以規定來約束或控制後述對象。
侷限 , 比喻被限制在後述事件或觀點內。
侷限 , 被限制在後述空間內。
便 , 使特定事件的目的容易達到。
便利 , 使特定事件的目的容易達到。
便利 , 有利於使用者達到目的的事。
便宜 , 使後述對象得到原本不屬於自己的好處。
便宜 , 形容物品價錢比預期低。
便宜 , 普通名詞。原本不屬於自己的好處。
便宜 , 普通名詞。用比預期低的價錢所完成的交易買賣。
便是 , 前述對象連接的是後述對象，表以後述事物說明前述事物的屬性。
便是 , 前述對象連接的是後述對象，表兩者指涉相同。
便是 , 表加強說話者對陳述內容的肯定。
便是 , 表同意的退讓語氣，置於句末。
便是 , 表後述事件緊接著前述事件發生。
便是 , 關聯連接詞。連接退讓的假設條件。
便 , 普通名詞。動物排泄的糞便。常用接尾詞。
便 , 普通名詞。可利用的有利條件。常用「…之便」。
便服 , 普通名詞。平常所穿的衣服。
便 , 用於轉折，表與聽話者有共識。
便 , 表前述事件為後述事件的充分條件，表示在該條件或情況下自然發展。
便 , 表前述情況已滿足主觀的最低條件。
便 , 表加強說話者對陳述內容的肯定。
便 , 表在後述預設條件下，後述命題和前文相對，具有轉折的語氣。
便 , 表強調說話者已知事實。
便 , 表後述事件在很短的時間內完成。
便 , 表後述事件發生的時間比預期早。
便 , 表後述事件緊接著前述事件發生。
便 , 表無所謂的讓步。常用「…便…」。
便 , 表達到目標的過程或條件比預期容易。
係 , 前述對象連接的是後述對象，表以後述事物說明前述事物的屬性。
係 , 前述對象連接的是後述對象，表兩者指涉相同
促 , 使事物產生或變化加快。
促使 , 因前述事件而導致後述事件加快發生。
促成 , 因前述事件推動而導致後述事件的達成。
促 , 要求後述對象趕快行動。
促進 , 使後述事件有更快或更好的方向發展。
促進 , 進行事件以達到後述狀態。
俄 , 地方詞。橫跨歐洲及亞洲的國家，北方為北極海，東方為太平洋。「俄羅斯」的簡省。
俄 , 專有名詞。治理俄國的政府。「俄羅斯」的縮寫。
俄 , 時間詞。極短的時間。
俄 , 普通名詞。俄國人的語文。「俄文」的簡省。
俄 , 普通名詞。俄國的文化。「俄羅斯」的簡省。
俄 , 普通名詞。大學中教授俄文知識的教學研究單位。俄文系所的簡省。
俊 , 專有名詞。姓。
俊 , 形容才智超過一般同類對象的。
俊 , 形容特定大型動物健壯，跑得快。
俊 , 形容男子的面貌具有美的特質。
俊 , 形容自然地形風景優美，使觀者感到愉悅而讚賞的。
俏 , 在食物中加入可以提味的食材。
俏 , 形容外表討人喜歡，動作靈活。
俏 , 形容活潑有趣的。
俗 , 形容平庸、不高雅的。
俗 , 形容跟俗世、塵世相關的。
俗 , 普通名詞。大眾所接受、使用的民間禮儀習慣。常用接尾詞。
俗稱 , 前述對象通用的名稱是後述對象。
俗稱 , 普通名詞。通用的名稱。
俗語 , 普通名詞。通俗流行的話語。
俘 , 挾持特定對象。
俘 , 普通名詞。在戰爭中抓到的敵人。常用接尾詞。
保 , 交付保證金給司法機構使嫌犯停止被羈押。
保 , 使特定狀態持續下去，不改變。
保 , 保護後述對象在一定標準之上。
保 , 在特定時段內提供免費的維修服務。
保 , 地方詞。國名，歐洲東南部的國家，首都為索菲亞。「保加利亞」的簡省。
保存 , 以原本狀態收藏。
保存 , 前述對象中仍維持有其後述部份。
保存 , 將特定對象存放在特定空間維持其可使用的狀態。
保存 , 對特定權力行使支配權，使特定對象能在適當時機使用。
保存 , 比喻將特定事物放在記憶中。
保存 , 維持特定對象的原本狀態。
保守 , 使後述對象不受到危險或傷害。
保守 , 保護後述對象並維持其所有權。
保守 , 形容政治立場較同情既得利益者的。
保守 , 表避免極端的。
保 , 專有名詞。姓。
保 , 專有名詞。治理保加利亞的政府。「保加利亞」的縮寫。
保 , 承諾後述事件並宣告主事者的責任。
保持 , 使特定狀態持續下去，不改變。
保 , 普通名詞。中國舊時的戶口編制名稱。
保 , 普通名詞。國家給予符合特定身分並按時繳納費用的人的一種保障。常用接尾詞。「保險」的縮略。
保 , 普通名詞。按期繳納費用給特定商業機構，該機構會對於特定原因所導致的損害負擔賠償財物的一種商業行為。常用接尾詞。「保險」的縮略。
保有 , 維持後述性質。
保有 , 維持擁有的狀態。
保留 , 對特定對象行使支配權，使特定對象能在適當時機使用。
保留 , 形容對特定事件不做明確評論。常與「態度」連用。
保留 , 維持保存後述對象原本的狀態。
保 , 維持後述對象的完整性，使其不受損害。
保衛 , 使特定對象不受侵犯或損害。
保證 , 以語言文字或其他行為宣告的承諾內容及提供補償。
保證 , 以語言文字或其他行為承諾後述事件並宣告主事者的責任的內容。
保證 , 承諾後述事件並宣告主事者的責任。
保證 , 確認事件存在或發生的必然性。
保護 , 使特定對象不受侵犯或損害。
保護區 , 地方詞。政府機關為保護自然生態或文化特色所設立的特定區域。
保送 , 因外力的介入而取得特定資格。
保送 , 因投手投出四壞球、觸身球而使打者可由本壘直接推進至一壘。
保送 , 因有傑出表現，而不必參加考試直接獲得入學資格。
保障 , 保護特定對象，使其不受侵犯或破壞。
保障 , 普通名詞。使特定對象不受侵犯或破壞的保證。
保險 , 形容安全可靠的。
保險 , 普通名詞。國家給予符合特定身分並按時繳納費用的人的一種保障。
保險 , 普通名詞。在可能會產生危險的工具上的具有安全保護的裝置。
保險 , 普通名詞。從事保險工作的公司集團的名稱。「保險公司」的簡省。
保險 , 普通名詞。按期繳納費用給特定商業機構，該機構會對於特定原因所導致的損害負擔賠償財物的一種商業行為。
保險 , 確認事件存在或發生的必然性。
俞 , 以語言文字或其他行為同意後述事件發生。
俞 , 專有名詞。姓。
俞 , 普通名詞。人體經脈腑臟之氣會聚的特定部位。常用接尾詞。
俟 , 引介所預期的人事物或情況。
信以為真 , 形容相信前述不實的陳述是真實的。
信 , 敬仰、崇奉某種不容懷疑的權威或信念。
信 , 普通名詞。上帝給世人的信心。
信 , 普通名詞。八德之一，言語和行為一致的特質。
信 , 普通名詞。給特定對象的書面訊息。
信 , 普通名詞。翻譯的原則之一，翻譯忠於原義的內容。
信箱 , 普通名詞。接收針對某種題目，提供相關意見或問題的箱子。
信箱 , 普通名詞。收件人接收訊息的電子郵件系統。
信箱 , 普通名詞。收信人收取郵件的箱子。
信箱 , 普通名詞。比喻接收針對某種題目，提供相關意見或問題的系統。
信託 , 一方以財產所有權，授託他方，形成一種關係，藉以達到某些經濟效果的行為。
信託 , 普通名詞。經營信託事業的機構。
信託 , 相信並託付給後述對象。
信 , 認為後述事件為真或確實。
信賴 , 信任並依靠後述對象。
修 , 以特定方法修飾後述對象的外表以達到不同的視覺效果。
修 , 使損壞的物件恢復原來的功能或形狀。
修 , 修剪動物毛髮成為特定形狀。
修改 , 以特定方法修飾後述對象的外表以達到不同的視覺效果。
修改 , 在已製成衣服的原來樣式上更改，使其合身或改變其樣式。
修改 , 更改特定對象。
修改 , 變更具有法律效力的規章。
修正 , 將後述錯誤修改為正確的。
修 , 比喻變更具有法律效力的規章或制訂新的法律。
修理 , 使損壞的物件恢復原來的功能或形狀。
修理 , 修剪整理植物。
修理 , 因前述外力的侵犯而受到損害，多用於被動句。
修理 , 對不合己意的人使用肢體暴力。
修理 , 對不合己意的人使用言語暴力。
修理 , 競賽中讓對方輸得很難看。
修 , 用刀斜刮除去後述物體表層。
修 , 經過修習教義、實踐並通過特定考驗，以達到特定境界。
修 , 藉由外科手術使外貌改變。
修行 , 修習宗教教義並實踐。
修行 , 修習知識和道理，並將其實踐在生活中。
修行 , 經過修習教義、實踐並通過特定考驗，以達到特定境界。
俯 , 低頭或將上半身朝下彎。
俯 , 接頭詞。請求對方依照自己的要求進行後述事件。
俱 , 表全部。
俺 , 代指說話者。
俺 , 代指說話者和聽話者雙方。
倉頡 , 專有名詞。傳說黃帝時代的史官。相傳為中國文字的創造者。
倉頡 , 專有名詞。打字輸入法的一種。以二十四個中文字形及七十五個輔助字形，依一定的取碼規則輸入。
個人 , 代指當事人。
個人 , 普通名詞。單獨一人。
個別 , 形容不包含在特定類別的其他少數。
個別 , 表不和其他同類對象一起。
個 , 形容單獨一人。
個性 , 形容特定對象的外型風格獨特。
個性 , 普通名詞。個人的特有處事態度和心理特徵。
個 , 表不和其他同類對象一起。
個 , 表以輕鬆的態度提出進行特定事件的要求。
個 , 表加強語氣，強調前述動作。
個 , 表後述動作狀態。
個 , 計算時間的單位，用於月、星期、小時等。
個 , 計算特定對象大約的數量的單位。
個 , 計算特定抽象名詞的單位。
個 , 計算能獨立成件的具體對象的單位。
個體 , 普通名詞。獨立而不受其他群體影響的特定對象。
倍 , 專有名詞。姓。
倍 , 普通名詞。特定對象增加的數量的單位。
倍 , 表特定事件的程度加深。
們 , 普通名詞。接尾詞。用在指人以外的名詞之後，表示複數。
們 , 普通名詞。接尾詞。用在指人的名詞之後，表示複數。
倒 , 人或物由直立到水平的狀態。
倒是 , 表催促或追問。
倒是 , 表和事實相反，有責怪的意思。
倒是 , 表和預期相反。
倒是 , 表讓步，常與轉折語氣「就是、可是、但是」等連用。
倒 , 民間互助會因會首破產、逃匿或有其他原因而使互助會不能繼續進行。
倒 , 營業機構因損失資本而停止營業。
倒 , 表特定對象的順序與預期的順序形成完全的對比。
倒 , 表讓步，常與轉折語氣「就是、可是、但是」等連用。
倒 , 試圖推翻政府或領導人。
倔 , 形容比喻思想固執不知變通的。
倘若 , 關聯連接詞。連接假設條件。
倘 , 關聯連接詞。連接假設條件。
候 , 利用特定現象來預測吉凶禍福。
候 , 普通名詞。可推斷出特定事件的現象。
候 , 普通名詞。節氣中的特定時段。
候 , 維持現有狀態，直到所期望的對象或情況出現。
倚 , 地理位置與後述地點相鄰。
倚天 , 專有名詞。倚天資訊公司所出版的電腦中文系統。
倚天 , 專有名詞。寶劍名稱，「倚天屠龍記」中最為大家所熟知的劍。
倚天 , 專有名詞。金庸的武俠小說之一，「射鵰三部曲」的第三部。「倚天屠龍記」的縮寫。
倚天 , 普通名詞。比喻厲害的工具。
倚天 , 表比喻高高地站立著，好像可以靠到天上。
倚 , 引介憑藉的對象。
倚 , 藉由其他東西的支撐，使物體立著。
倚 , 身體傾斜，把一部份重量由物體或他人支撐。
借宿 , 借他人的地方住。
借 , 將自己的所有物或金錢暫時讓給他人使用。
借 , 引介工具或方法。
借用 , 將後述概念應用在不同的領域內。
借用 , 經他人同意，暫時取得並使用他人的所有物或金錢。
借 , 經他人同意，暫時取得並使用他人的所有物或金錢。
借 , 藉由後述對象表達心中的想法或情感。
借貸 , 借用貸款。
倦 , 形容厭倦特定事件，不想再繼續做。
倦 , 形容體力消耗過多。
倨 , 形容態度驕傲自大，看不起他人。
倨 , 蹲坐在後述地點。
倪 , 專有名詞。姓。
倫 , 專有名詞。姓。
倫 , 普通名詞。事物的條理。
倫 , 普通名詞。人與人之間相處的道德準則。
值 , 執行勤務。常用「值…班」。
值 , 形容擁有特定金額的價值。
值 , 普通名詞。表示量的大小的數字。「數值」的簡省。
值班 , 在輪到自己工作的時間內去工作。
假使 , 關聯連接詞。連接假設條件。
假如 , 關聯連接詞。連接假設條件。
假 , 引介冒用的名義或方式。
假 , 形容不具有實際功能與身份，是偽裝的。
假 , 形容不符合客觀事實而捏造的，通常有欺騙的意圖。
假 , 形容對主事者沒有實質利益的。
假 , 形容強調說話者對後述描述內容的否定，修辭上常用來指出他人對該內容的誤用。
假 , 形容未經過品牌驗證或授權而仿造的。
假 , 形容沒有明確的主觀意識或沒有確實執行的。
假 , 形容物質非自然生成，而是人工合成的。
假 , 形容經過整型手術而改變器官外貌的。
假 , 形容與對象的原貌有差距的。
假 , 形容表現的情感不是發自內心的。
假 , 普通名詞。假的對象。
假 , 普通名詞。工作或就學期間，依規定或經由申請後停止工作或上學的時間。
假若 , 關聯連接詞。連接假設條件。
假裝 , 故意做出特定動作或姿態來掩飾真相。
假設 , 以後述陳述做為推測依據。
假設 , 形容憑空構想的。
假設 , 普通名詞。對客觀的事物，所提出的推測。
偉大 , 形容事或物比同類對象傑出，令人佩服的。
偉大 , 形容有很高的成就且令人尊敬崇拜的。
偉大 , 形容自然景觀或建築物規模大或重要性高的。
偉大 , 形容雌性動物的乳房或雄性動物的生殖器尺寸大的。
偉大 , 普通名詞。前述對象的重要性與其崇高的價值。
偉 , 專有名詞。姓。
偉 , 形容事或物比同類對象傑出，令人佩服的。
偉 , 形容有很高的成就且令人尊敬崇拜的。
偉 , 形容自然景觀或建築物規模大或重要性高的。
偉 , 形容雌性動物的乳房或雄性動物的生殖器尺寸大的。
偉 , 普通名詞。前述對象的重要性與其崇高的價值。
偌大 , 形容這麼大，帶有強調語氣。
偏偏 , 表事實與期望相反。
偏偏 , 表與他人預期相反的堅持前提。
偏偏 , 表連接句子的轉折語氣，用來引出命題和前文相對的句子。
偏 , 因喜好而對特定的一方特別好。
偏 , 在可選擇的事物中，較喜愛特定類別。
偏好 , 在可選擇的事物中，較喜愛特定類別。
偏心 , 因喜好而對特定的一方特別好。
偏心 , 機械零件以其圓心以外的點為旋轉中心。
偏 , 接頭詞。形容居於輔助地位的。
偏 , 比喻與標準不符合而稍微具有後述傾向。
偏 , 看重並強調後述對象。
偏 , 移動到與正確方向不符合的有小角度的方向。
偏 , 與正確方向不符合而形成一個小角度。
偏 , 表與他人預期相反的堅持前提。
偏遠 , 形容不在中心地帶的。
偏離 , 比喻脫離原來的主題。
偏離 , 移動到與正確方向不符合的有小角度的方向。
偕 , 引介和特定對象同在一起。
做主 , 由前述對象擁有事件的決定權。
做主 , 請前述對象為說話者出面。
做人 , 做一個符合社會期望的人。
做人 , 生產下一代。
做人 , 維持良好的社會關係與尊嚴。
做 , 代動詞。做，取代整個事件。
做 , 以特定原料或材料做成成品。
做 , 以眼神或其他肢體動作傳遞特定訊息。
做 , 前述對象的工作或身份是後述對象。
做 , 前述對象連接的是後述對象，表兩者指涉相同。
做 , 對還沒有實現的事物有不切實際的期望。常與「夢」連用。
做 , 對還沒有實現的事物有期望。常與「夢」連用。
做 , 把兩個描述對象認定為相同或具有相同功能。
做 , 比喻因做特定事件而造成特定結果。
做法 , 施行法術。
做法 , 普通名詞。進行特定事件的方式。
做 , 睡眠時腦部活動產生記憶與知覺。常與「夢」連用。
做 , 裝出比實際狀況更強或更好的後述狀態。
做 , 進行性行為。常與「愛」連用。
做 , 進行特定正式活動。
停 , 不繼續使用後述對象。
停 , 停留在特定地點。
停 , 前述狀態消失或動作結束，不再持續。
停 , 提醒語。用於提醒他人結束進行中的特定狀態或活動。
停止 , 不繼續做後述動作。
停止 , 前述狀態消失或動作結束，不再持續。
停 , 比喻將想法或行為維持在後述狀態。
停 , 比喻將特定情感或注意力放在特定對象上。
停留 , 停留在特定地點。
停留 , 比喻將想法或行為維持在後述狀態。
停留 , 比喻將特定情感或注意力放在特定對象上。
停車 , 使行進中的車子停止行進。
停車 , 機器停止運作。
停電 , 形容供電停止。
健 , 使後述器官機能增強。
健全 , 使事物完善、沒有欠缺。
健全 , 形容比喻事物完善、沒有欠缺的。
健全 , 形容生理或心理健康無缺陷。
健康 , 形容比喻事物完善、沒有欠缺的。
健康 , 形容生理、心理狀態良好。
健康 , 普通名詞。良好的生理、心理狀態。
健 , 形容生理、心理狀態良好。
健 , 表進行後述長距離且需要良好體能的活動。
側目 , 普通名詞。特別專注的觀察。
側目 , 注意到他人顯著的行為舉止。
側目 , 表從旁邊斜著眼睛看。
偵測 , 以特定儀器測量以發現特定對象。
偶 , 代指說話者。
偶 , 普通名詞。動物社會中通常以繁衍後代為目的而共同生活的伙伴。
偶 , 普通名詞。接尾詞。用特定材料製成的動物形狀的物品。
偶 , 普通名詞。能被二除盡的數。「偶數」的簡省。
偶爾 , 表事件發生的頻率很低。
偶 , 表事件發生的頻率很低。
偷偷 , 表在不使人察覺的情況下。
偷 , 在未被察覺的情況下，將物品據為己有。
偷渡 , 以非法方式使某物通過審查或檢查。
偷渡 , 非法入出境。
偷 , 與後述對象發生不正當的關係。
偷 , 表在不使人察覺的情況下。
偽 , 形容不具有實際功能與身份，是偽裝的。
偽 , 形容不符合客觀事實而捏造的，通常有欺騙的意圖。
偽 , 形容強調說話者對後述描述內容的否定，修辭上常用來指出他人對該內容的誤用。
偽 , 形容未經過品牌驗證或授權而仿造的。
偽 , 形容物質非自然生成，而是人工合成的。
偽 , 形容特定主權是用不正當的手段取得的。
偽 , 形容經過整型手術而改變器官外貌的。
偽 , 普通名詞。假的對象。
傅 , 專有名詞。姓
傍 , 專有名詞。姓。
傍 , 接近事件發生的時段。
傍 , 身體傾斜，把一部份重量由物體或他人支撐。
傑克 , 專有名詞。外文名字。
傑出 , 形容特質或表現遠遠超過一般同類對象的。
傑 , 形容特質或表現遠遠超過一般同類對象的。
傑 , 普通名詞。特質或表現遠遠超過一般同類對象的人。
傘 , 普通名詞。以可以手持的柄連接打開後呈放射狀的細長骨架撐開輕質的材料，用來遮擋雨水或陽光的器具。常用接尾詞。
傘 , 普通名詞。以大面積的輕質紡織品或類似材料做成，展開時可以產生浮力協助飛行的器具。常用接尾詞。
傘 , 普通名詞。接頭詞。像傘的物體。
傘 , 普通名詞。比喻所提供的保護。常用接尾詞。
傘 , 普通名詞。比喻菇類最上端展開的部位。常用接尾詞。
備 , 事件名詞。額外錄取準備遞補的排序。
備 , 以額外錄取的名單來遞補沒來報到的人選。
備 , 普通名詞。呈報給上級或相關主管單位執行特定事件的原因。
備 , 為了後述事件而事先安排或規劃。常用「以備......」。
備 , 表得到較多後述狀態。
傢俱 , 家庭、辦公室中的器具。
催 , 使事物產生或變化加快。
催 , 促使他人在一定期間之內繳交後述對象。
催促 , 要求後述對象趕快行動。
催化 , 使事件變化加快。
催化 , 改變條件以加快化學變化的速度。
催 , 專有名詞。姓。
催眠 , 不斷地對人進行觀念灌輸，改變其原有的思想和態度，以達到特定目的。
催眠 , 用特殊方法使人進入一種類似睡眠狀態，通常用於心理醫療或魔術表演等。
催 , 要求後述對象趕快行動。
傲 , 形容態度驕傲自大，看不起他人。
傲 , 形容比喻個性強硬，不易妥協。
傲 , 看不起他人。
傳世 , 公開傳播出去。
傳世 , 流傳到後世。
傳 , 使特定特質在下一代重現。
傳媒 , 普通名詞。對大眾傳遞消息、知識的工具，包括報紙、廣播、電視等。
傳媒 , 普通名詞。特定疾病的傳染媒介。
傳媒 , 普通名詞。與大眾傳播相關的工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。
傳 , 宣揚後述對象，通常為宗教教義。
傳家 , 家中世代相傳。
傳 , 將物品經固定路線與順序由一方交到下一方。
傳 , 將特定對象經由媒介交給另一方。
傳 , 把權力依固定順序交給下一個人。
傳 , 把物品依固定順序交給下一個人。
傳授 , 將學問或技藝教導給他人。
傳播 , 以報紙、廣播、電視等媒介向大眾傳遞訊息。
傳播 , 將特定對象經由媒介交給另一方。
傳播 , 形容比喻特指原以傳播公司為名義所招募的。
傳播 , 普通名詞。大學中教授以報紙、廣播、電視等媒介向大眾傳遞訊息的知識的教學研究單位。
傳播 , 普通名詞。由專業人員透過報紙、廣播、電視等媒介，對大眾傳遞消息、知識的過程。
傳播 , 普通名詞。研究以報紙、廣播、電視等媒介向大眾傳遞訊息的知識。
